raceId,driverId,constructorId,rank,points,grid,position,positionOrder,positionText,firstLapChange,pitStops
58,4,4,2,10,1,1,1,1,0,
58,30,6,3,8,3,2,2,2,0,
58,21,4,4,6,2,3,3,3,0,
58,13,6,1,5,4,4,4,4,0,
58,8,1,5,4,9,5,5,5,4,
58,18,11,6,3,8,6,6,6,1,
58,22,11,7,2,5,7,7,7,-1,
58,2,2,10,1,10,8,8,8,0,
58,17,3,11,0,11,9,9,9,-1,
58,15,7,13,0,7,10,10,10,-1,
58,3,3,8,0,13,11,11,11,-1,
58,35,2,12,0,22,12,12,12,1,
58,32,9,15,0,14,13,13,13,-2,
58,14,9,9,0,21,14,14,14,3,
58,24,5,14,0,15,15,15,15,0,
58,33,13,18,0,17,16,16,16,-2,
58,11,8,21,0,19,17,17,17,-1,
59,4,4,3,10,1,1,1,1,0,
59,31,1,6,8,4,2,2,2,0,
59,14,9,19,6,7,3,3,3,0,
59,22,11,12,5,5,4,4,4,0,
59,30,6,1,4,22,5,5,5,4,
59,21,4,5,3,9,6,6,6,1,
59,2,2,11,2,15,7,7,7,4,
59,23,7,15,1,10,8,8,8,-2,
59,13,6,7,0,21,9,9,9,0,
59,24,5,17,0,12,10,10,10,-1,
59,18,11,10,0,13,11,11,11,-2,
59,27,13,16,0,16,12,12,12,-1,
59,26,5,14,0,18,13,13,13,2,
59,35,2,18,0,14,14,14,14,0,
59,33,13,13,0,17,15,15,15,-5,
59,36,8,22,0,20,16,16,16,0,
59,15,7,8,0,6,17,17,17,-3,
60,4,4,1,10,1,1,1,1,0,
60,30,6,2,8,3,2,2,2,0,
60,8,1,5,6,2,3,3,3,0,
60,21,4,3,5,5,4,4,4,0,
60,13,6,4,4,4,5,5,5,0,
60,31,1,8,3,8,6,6,6,1,
60,2,2,6,2,9,7,7,7,3,
60,35,2,10,1,10,8,8,8,0,
60,3,3,9,0,12,9,9,9,3,
60,22,11,11,0,6,10,10,10,-2,
60,15,7,7,0,22,11,11,11,9,
60,14,9,14,0,11,12,12,12,0,
60,24,5,15,0,13,13,13,13,1,
60,32,9,12,0,14,14,14,14,-1,
60,27,13,13,0,18,15,15,15,1,
60,33,13,16,0,16,16,16,16,0,
60,11,8,18,0,20,17,17,17,2,
60,36,8,19,0,21,18,18,18,2,
61,4,4,2,10,1,1,1,1,0,
61,30,6,3,8,5,2,2,2,-2,
61,8,1,1,6,3,3,3,3,1,
61,21,4,4,5,2,4,4,4,-1,
61,13,6,5,4,10,5,5,5,0,
61,15,7,8,3,4,6,6,6,0,
61,2,2,7,2,13,7,7,7,2,
61,14,9,10,1,22,8,8,8,3,
61,18,11,13,0,8,9,9,9,0,
61,26,5,12,0,17,10,10,10,1,
61,32,9,9,0,12,11,11,11,-3,
61,17,3,11,0,16,12,12,12,4,
61,24,5,14,0,15,13,13,13,2,
61,33,13,18,0,18,14,14,14,-3,
61,11,8,19,0,20,15,15,15,2,
63,30,6,1,10,1,1,1,1,0,
63,4,4,5,8,3,2,2,2,0,
63,13,6,2,6,2,3,3,3,0,
63,23,7,6,5,5,4,4,4,0,
63,8,1,4,4,6,5,5,5,0,
63,21,4,9,3,7,6,6,6,0,
63,37,1,3,2,8,7,7,7,-1,
63,2,2,14,1,11,8,8,8,1,
63,14,9,17,0,9,9,9,9,-2,
63,26,5,12,0,14,10,10,10,1,
63,35,2,7,0,16,11,11,11,2,
63,32,9,16,0,12,12,12,12,-3,
63,24,5,10,0,22,13,13,13,3,
63,3,3,13,0,18,14,14,14,1,
63,27,13,18,0,15,15,15,15,-3,
63,36,8,20,0,20,16,16,16,0,
64,30,6,1,10,2,1,1,1,0,
64,13,6,2,8,3,2,2,2,0,
64,8,1,3,6,1,3,3,3,0,
64,18,11,7,5,4,4,4,4,-1,
64,4,4,9,4,7,5,5,5,1,
